,comp1,comp2,comp3,cluster,cluster_broad,id,date_publish,outlet,headline,article_terms,cluster_terms_str
0,-0.0009009906751069649,0.00023586091119651864,-0.00046129085194329753,125,2,3869843,2019-08-27 16:37:14,HuffPost,Water Scarcity Is A Growing Problem. We Can Use Satellites To Better Measure It.,"['water', 'scarciti', 'grow', 'problem', 'use', 'satellit', 'better', 'measur', 'itth', 'problem', 'could', 'affect', 'much', '80', 'peopl', 'africa', '2050']","water, nile, scarciti, upper, scientist, peopl, thomson, foundat, problem, research"
1,-0.0004593060889559402,-0.0002348048870149595,-0.0007076168082599552,1330,4,45666782,2019-08-27 16:37:42,The Washington Post,Israel’s shadow war with Iran bursts into the open,"['israel', 'shadow', 'iran', 'burst', 'openth', 'long', 'shadow', 'israel', 'iran', 'burst', 'open', 'recent', 'day', 'israel', 'allegedli', 'strike', 'iranlink', 'target', 'far', 'away', 'iraq', 'crashland', 'two', 'drone', 'hezbollahdomin', 'southern', 'beirut']","israel, shadow, iran, open, iraq, wider, burst, target, burst, domin"
2,-0.0006109605539822861,-0.00012973737051338757,-0.0006395506452822444,1330,4,55525807,2019-08-27 16:43:20,Yahoo! News,Israel's shadow war with Iran bursts into the open,"['israel', 'shadow', 'iran', 'burst', 'openth', 'long', 'shadow', 'israel', 'iran', 'burst', 'open', 'recent', 'day', 'israel', 'allegedli', 'strike', 'iranlink', 'target', 'far', 'away', 'iraq', 'crashland', 'two', 'drone', 'hezbollahdomin', 'southern', 'beirut', 'israel', 'prime', 'minist', 'benjamin', 'netanyahu', 'look', 'project', 'strength']","israel, shadow, iran, open, iraq, wider, burst, target, burst, domin"
4,-0.0002582171590531139,-0.0008854591206565656,-0.0009727447127720718,1386,2,55512713,2019-08-27 16:47:39,Yahoo! News,Palestinian Harvard student denied entry to US because 'friends posted anti-American statements',"['palestinian', 'harvard', 'student', 'deni', 'entri', 'us', 'friend', 'post', 'antiamerican', 'statementsa', 'palestinian', 'harvard', 'student', 'claim', 'deni', 'entri', 'us', 'friend', 'post', 'antiamerican', 'statement', 'social', 'media', 'ismail', 'ajjawi', '17', 'due', 'begin', 'studi', 'prestigi', 'univers', 'next', 'tuesday', 'said', 'detain', 'arriv', 'boston', 'logan']","harvard, freshman, friend, entri, palestinian, ajjawi, ismail, deni, 17, student"
5,4.11664115322328e-06,-0.0012156720634536463,-0.0013048518198798104,837,8,55138573,2019-08-27 16:48:22,Los Angeles Times,Deputy who said he was shot by sniper has been investigated before,"['deputi', 'said', 'shot', 'sniper', 'investig', 'beforela', 'counti', 'sheriff', 'deputi', 'angel', 'reinosa', 'investig', 'alleg', 'dishonesti', 'claim', 'shot', 'sniper', 'sourc', 'say']","sniper, sheriff, deputi, shot, fire, counti, fake, allegedli, reinosa, angel"
6,-0.0005954978294231415,-0.0011556129983969286,1.1071197890640072e-05,1031,2,55202861,2019-08-27 16:49:00,NBC News,Gay Republican group's executive director resigns after Trump endorsement,"['gay', 'republican', 'group', 'execut', 'director', 'resign', 'trump', 'endorsementjerri', 'ann', 'henri', 'departur', 'log', 'cabin', 'republican', 'latest', 'among', 'sever', 'highprofil', 'defect']","cabin, log, endors, jerri, henri, ann, republican, departur, lgbt, director"
7,-0.0006034228499686337,-0.0005478846228452823,-0.0005496783792607613,1043,7,45801792,2019-08-27 16:49:21,The Washington Post,Trump complains of ‘yet another big storm’ as Puerto Rico comes under a hurricane watch,"['trump', 'complain', 'yet', 'anoth', 'big', 'storm', 'puerto', 'rico', 'come', 'hurrican', 'watchin', 'tweet', 'presid', 'dramat', 'overst', 'much', 'aid', 'congress', 'alloc', 'wake', 'hurrican', 'maria', '2017']","puerto, rico, storm, tweet, heat, rivalri, pat, bash, jab, oncom"
8,-0.000561861320417846,-0.0006517292828356377,-0.000664366877743958,602,2,4273142,2019-08-27 16:51:27,USA Today,Trump disputes media report of bedbugs at Doral Miami resort,"['trump', 'disput', 'media', 'report', 'bedbug', 'doral', 'miami', 'resorttrump', 'said', 'monday', 'trump', 'nation', 'doral', 'miami', 'golf', 'resort', 'consid', 'locat', 'next', 'year', 'g7', 'confer', 'us', 'host']","resort, doral, rumor, bug, bedbug, bed, promot, miami, stem, infest"
9,-0.000807022363749619,8.525808100927786e-05,-0.0005883162629895588,818,3,54584809,2019-08-27 16:52:02,National Review,Bernie Sanders's China Comments -- China Has Done a Lot of Things for Their People!,"['berni', 'sanderss', 'china', 'comment', 'china', 'done', 'lot', 'thing', 'peopleberni', 'sanderss', 'odd', 'comment', 'china', 'respons', 'poverti']","poverti, sander, extrem, berni, authoritarian, ingraham, laura, lot, china, progress"
10,-0.00046490920987803135,-0.0001697930733528629,-0.0006909529676571546,1146,4,1985635,2019-08-27 16:53:45,Reuters,Hezbollah plans 'calculated' response to Israel: sources,"['hezbollah', 'plan', 'calcul', 'respons', 'israel', 'sourceshezbollah', 'prepar', 'calcul', 'strike', 'enemi', 'israel', 'drone', 'crash', 'beirut', 'seek', 'avoid', 'new', 'two', 'sourc', 'alli', 'heavili', 'arm', 'shiit', 'muslim', 'movement', 'told', 'reuter', 'tuesday']","hezbollah, israel, crash, drone, unlik, calcul, lebanon, adversari, surpris, strike"
