,cluster_broad,date_publish,outlet,headline
0,2,2019-08-27 16:37:14,HuffPost,Water Scarcity Is A Growing Problem. We Can Use Satellites To Better Measure It.
1,4,2019-08-27 16:37:42,The Washington Post,Israel’s shadow war with Iran bursts into the open
2,4,2019-08-27 16:43:20,Yahoo! News,Israel's shadow war with Iran bursts into the open
4,2,2019-08-27 16:47:39,Yahoo! News,Palestinian Harvard student denied entry to US because 'friends posted anti-American statements'
5,8,2019-08-27 16:48:22,Los Angeles Times,Deputy who said he was shot by sniper has been investigated before
6,2,2019-08-27 16:49:00,NBC News,Gay Republican group's executive director resigns after Trump endorsement
7,7,2019-08-27 16:49:21,The Washington Post,Trump complains of ‘yet another big storm’ as Puerto Rico comes under a hurricane watch
8,2,2019-08-27 16:51:27,USA Today,Trump disputes media report of bedbugs at Doral Miami resort
9,3,2019-08-27 16:52:02,National Review,Bernie Sanders's China Comments -- China Has Done a Lot of Things for Their People!
10,4,2019-08-27 16:53:45,Reuters,Hezbollah plans 'calculated' response to Israel: sources
11,2,2019-08-27 16:59:37,Reuters,Gambia's first post-independence president Jawara dies at 95
12,8,2019-08-27 17:03:12,Reuters,Federal judge temporarily blocks Missouri law restricting abortion
13,4,2019-08-27 17:03:21,Yahoo! News,Deal nears in talks with US: Taliban
14,1,2019-08-27 17:03:48,Los Angeles Times,Tobacco giants Philip Morris and Altria in talks to reunite
15,8,2019-08-27 17:05:13,The Washington Post,Federal judge temporarily blocks Missouri ban on abortions at or after 8 weeks of pregnancy
16,8,2019-08-27 17:07:00,NBC News,Federal judge blocks Missouri's restrictive abortion law
17,8,2019-08-27 17:07:39,Slate,LA County sheriff deputy may face criminal charge after faking being shot by sniper.
18,1,2019-08-27 17:08:20,Reuters,Philip Morris in merger talks with Altria; e-cigs at stake
19,8,2019-08-27 17:13:33,Los Angeles Times,Federal judge blocks Missouri's 8-week abortion ban law
20,8,2019-08-27 17:17:05,Fox News,DC consultant's alleged affair with Ilhan Omar is front and center in divorce papers
21,7,2019-08-27 17:22:00,ABC News,Trump repeats misleading claim on aid to Puerto Rico as Dorian heads its way
22,2,2019-08-27 17:26:56,Reuters,Are water shortages driving migration? Researchers dispel myths
23,8,2019-08-27 17:28:23,Reuters,Federal judge blocks restrictive Missouri abortion law
24,8,2019-08-27 17:39:08,The Washington Post,Former Google engineer charged with trade secrets theft
25,8,2019-08-27 17:44:09,Reuters,U.S. charges former Alphabet engineer with stealing self-driving car secrets
26,9,2019-08-27 17:47:13,The Guardian,Jair Bolsonaro demands Emmanuel Macron withdraw 'insults' over fires
27,7,2019-08-27 17:47:28,PBS,"U.S. moves FEMA, Coast Guard money to fund border programs"
28,8,2019-08-27 17:48:00,ABC News,Ex-Google engineer charged with stealing company's trade secrets for driverless cars
29,7,2019-08-27 17:49:57,HuffPost,Trump Again Inflates Puerto Rico's Disaster Aid As Another Storm Nears
30,8,2019-08-27 17:51:16,Los Angeles Times,Ex-Uber and Waymo engineer charged with trade secrets theft
31,8,2019-08-27 17:53:27,Breitbart,Divorce Filing: Wife Says Democrat Consultant Had Affair with Ilhan Omar
32,8,2019-08-27 17:57:00,The Guardian,‘Depraved human being’: Jeffrey Epstein accusers voice their anguish in court
33,3,2019-08-27 18:01:15,Fox News,"Greg Gutfeld: Biden needs to outpace Warren, Sanders before one progressive drops out"
34,9,2019-08-27 18:03:53,Breitbart,Bolsonaro to Macron: Stop Hurling Insults at Me
35,9,2019-08-27 18:04:16,Reuters,Macron must take back 'insults' for Brazil to accept G7 Amazon aid: Bolsonaro
36,1,2019-08-27 18:06:42,Chicago Tribune,"Tobacco merger talks: Altria, Philip Morris may reunite"
37,8,2019-08-27 18:07:07,Yahoo! News,'Coward': Accusers rip Jeffrey Epstein in court hearing Tuesday
38,2,2019-08-27 18:11:28,Los Angeles Times,College Board abandoning SAT 'adversity score' after criticism
39,2,2019-08-27 18:13:42,National Review,College Board Abandons Plan for SAT Adversity Scores
40,3,2019-08-27 18:19:59,Yahoo! News,Sanders: China Has Made ‘More Progress’ on Extreme Poverty than Any Country in History
41,8,2019-08-27 18:21:03,The Guardian,Former Google self-driving car engineer charged with theft of trade secrets
42,8,2019-08-27 18:26:45,HuffPost,Jeffrey Epstein Accusers Get Their Day In Court After His Death
43,2,2019-08-27 18:38:34,Yahoo! News,Trump said his Florida resort where he wants to host the next G7 has 'no bed bugs.' The resort settled a lawsuit over bed bugs there in 2017
44,8,2019-08-27 18:40:43,CBS News,Jeffrey Epstein's death: Democratic Women's Caucus asks for House investigation
45,2,2019-08-27 18:45:08,CNN,Incoming Harvard freshman denied entry by immigration officials
46,9,2019-08-27 18:46:33,Yahoo! News,Sting Condemns Brazil’s Handling of Amazon Fires: ‘We Will All Suffer the Consequences’
47,2,2019-08-27 18:48:00,NBC News,Trump admin pulling millions from FEMA disaster relief to send to southern border
48,6,2019-08-27 18:50:41,Fox News,'Suspicious' deaths at West Virginia VA hospital under investigation
49,2,2019-08-27 18:54:44,The Washington Post,Executive director of pro-LGBT rights GOP group is the latest to leave after its endorsement of Trump
50,6,2019-08-27 19:06:32,Reuters,Opioid drugmaker Purdue Pharma offers $10-12 billion to settle opioid claims: NBC News
53,8,2019-08-27 19:21:11,Yahoo! News,Ex-Google engineer charged with theft of autonomous car secrets
54,2,2019-08-27 19:21:14,HuffPost,Trump Blames Democrats For 'Nasty' Bedbugs Report At Doral Resort
55,9,2019-08-27 19:21:43,The Washington Post,Vast fires sweep across Bolivia as well as Brazil
56,6,2019-08-27 19:25:59,Reuters,Purdue Pharma offers $10 billion-$12 billion to settle opioid claims: NBC
57,6,2019-08-27 19:37:15,Reuters,Opioid marketing and the First Amendment: Oklahoma judge rejects J&J defenses
58,8,2019-08-27 19:38:43,Reuters,Timeline: Autonomous car pioneer Levandowski faces criminal charges of stealing from Alphabet
59,12,2019-08-27 19:39:16,Fox News,Michigan man accused of killing wife by spiking cereal with heroin
60,8,2019-08-27 19:40:05,Reuters,U.S. charges ex-Alphabet engineer with stealing self-driving car secrets
62,3,2019-08-27 19:41:00,NBC News,"Upcoming polls give Steyer shot at Democratic debate, could push it to two nights"
63,6,2019-08-27 19:43:23,Reuters,Purdue Pharma in discussion on $10 billion-$12 billion offer to settle opioid claims: sources
64,8,2019-08-27 19:44:07,HuffPost,Judge Blocks Missouri's 8-Week Abortion Ban From Going Into Effect
65,8,2019-08-27 19:46:35,Reuters,Missouri ban on abortion after eight weeks temporarily blocked by U.S. judge
66,8,2019-08-27 19:50:40,Reuters,Ex-Google engineer charged with taking stolen self-driving secrets to Uber
67,8,2019-08-27 19:55:29,Reuters,'Eats away at my soul': Epstein accusers testify weeks after his suicide
68,2,2019-08-27 20:02:18,Fox News,"Barr books holiday party at Trump hotel, stoking ethics concerns"
69,9,2019-08-27 20:05:12,Reuters,Brazil's neighbors call for meeting and Amazon pact as fires rage
70,2,2019-08-27 20:07:00,ABC News,Deutsche Bank reveals it has access to tax returns related to Trump congressional investigation
71,8,2019-08-27 20:10:38,Reuters,Missouri ban on abortion after eight weeks temporarily blocked by U.S. judge
72,6,2019-08-27 20:11:39,USA Today,"OxyContin maker Purdue Pharma offers up to $12B deal, report says"
73,2,2019-08-27 20:17:19,Reuters,"Russia denies visas to two U.S. senators, amid G7 tensions"
74,8,2019-08-27 20:18:06,CNN,"Judge orders men who lied about being veterans to write names of those killed in Iraq, Afghanistan"
75,8,2019-08-27 20:21:27,Yahoo! News,Only 33% of Americans believe that Jeffrey Epstein actually died by suicide
76,10,2019-08-27 20:21:28,Breitbart,Beto O'Rourke Ejects Breitbart News Reporter from Event at Historically Black College
77,8,2019-08-27 20:21:42,Reuters,Explainer: Ex-Google engineer faces severe penalties in self-driving trade secrets case
