outlet,Outlet_Perc
ABC News,0.026817640047675805
BBC,0.009535160905840286
Breitbart,0.04290822407628129
CBS News,0.023837902264600714
CNN,0.016090584028605484
Chicago Tribune,0.01132300357568534
Fox News,0.06912991656734208
HuffPost,0.03098927294398093
Los Angeles Times,0.033373063170441
NBC News,0.03933253873659118
NPR,0.03873659117997616
National Review,0.015494636471990465
PBS,0.012514898688915376
Politico,0.01132300357568534
Reuters,0.23837902264600716
Slate,0.008939213349225268
The Guardian,0.04707985697258641
The Nation,0.0005959475566150178
The New York Times,0.033373063170441
The Washington Post,0.15792610250297973
USA Today,0.03456495828367104
Yahoo! News,0.09773539928486293
